Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
Dalton Johnson,S,Arizona,267,5th-6th round,,,19.4,42.1,38.4,practice_only,77.0,3.8,19.2,mocked_higher,beast,False,False
Michael Heldman,EDGE,Central Michigan,268,7th round,,,16.4,59.0,24.6,practice_only,9.5,3.2,87.3,mocked_lower,beast,False,False
DJ Campbell,IOL,Texas,269,6th-7th round,,,22.5,53.4,24.1,practice_only,21.4,8.6,70.0,mocked_lower,beast,False,False
Noah Whittington,RB,Oregon,270,6th-7th round,6.7 (Role Player/Part-Time Contributor — 4th Round),Ray Davis,5.2,64.2,30.6,practice_only,58.3,10.8,31.0,mocked_higher,beast,True,False
Eric Rivers,WR,Georgia Tech,271,Free Agent,,,12.3,62.2,25.5,practice_only,71.1,1.7,27.2,mocked_higher,beast,False,False
Nolan Rucci,OT,Penn State,272,7th round-​,,,29.6,50.6,19.8,practice_only,27.6,4.2,68.2,mocked_lower,beast,False,False
Max Bredeson,RB,Michigan,273,7th round,,,7.0,62.1,30.8,practice_only,52.2,2.7,45.1,mocked_higher,beast,False,False
Skyler Gill-Howard,DL,Texas Tech,274,7th round-Free,,,3.0,82.8,14.1,practice_only,43.8,11.0,45.2,mocked_lower,beast,False,False
Jack Pyburn,EDGE,LSU,275,6th round,,,51.1,34.4,14.5,real_contract,7.8,52.3,39.9,mocked_near_consensus,beast,False,False
Joe Fagnano,QB,UConn,276,7th round,,,30.0,36.3,33.7,practice_only,31.5,6.4,62.0,mocked_lower,beast,False,False
Ethan Burke,EDGE,Texas,277,Free Agent,,,4.3,34.4,61.3,out_of_league,6.8,3.0,90.3,mocked_lower,beast,False,False
Chip Trayanum,RB,Toledo,278,7th round-​,,,12.1,33.9,54.0,out_of_league,7.7,10.5,81.8,mocked_lower,beast,False,False
Enrique Cruz,OT,Kansas,279,6th round,,,32.4,36.7,30.9,practice_only,59.4,4.8,35.8,mocked_higher,beast,False,False
Dillon Bell,WR,Georgia,280,Free Agent,,,2.9,85.6,11.4,practice_only,84.3,0.4,15.3,mocked_higher,beast,False,False
Ceyair Wright,CB,Nebraska,281,7th round-​,,,19.6,60.1,20.3,practice_only,6.4,5.4,88.2,mocked_lower,beast,False,False
Zavion Thomas,WR,LSU,282,7th round,,,3.6,76.6,19.8,practice_only,90.5,0.9,8.6,mocked_higher,beast,False,False
Latrell McCutchin,CB,Houston,283,4th-5th round,,,64.7,25.7,9.6,real_contract,55.2,18.9,26.0,mocked_higher,beast,False,False
Aaron Anderson,WR,LSU,284,Free Agent,5.70 (Backup/Draftable — 6th-7th Round),Demario Douglas,2.3,78.1,19.6,practice_only,84.9,0.6,14.5,mocked_higher,beast,True,False
James Thompson,DL,Illinois,286,7th round-​,,,6.8,38.3,54.9,out_of_league,9.5,4.9,85.6,mocked_lower,beast,False,False
Garrett DiGiorgio,OT,UCLA,290,7th round,6.5 (Role Player/Part-Time Contributor — 4th Round),Oday Aboushi,12.1,54.1,33.8,practice_only,22.3,6.3,71.3,mocked_lower,beast,True,False
