"","full_name","school","blurb1","blurb2","pros_a_cons"
"11","Jamie Newman","GEORGIA","Jamie Newman played high school football at Graham High School in Graham, North Carolina. He became the starting varsity quarterback as a freshman. Over his final three seasons at Graham, Newman threw for 45 touchdowns and ran for another 29 touchdowns. As a senior, he completed 80 of his 158 attempts for 1,367 yards and 12 touchdowns and had 106 carries for 419 yards and eight touchdowns while missing two games with injury. As a junior, Newman completed 100 of his 195 pass attempts for 1,840 yards and 20 touchdowns and added 1,251 rushing yards and nine touchdowns as a ball carrier. 247Sports ranked him the No. 16 dual threat quarterback in his class. Newman was rated a three-star recruit by ESPN, Rivals, Scout and 247Sports. School","It had to be frustrating for Newman to watch quarterbacks skyrocket up draft boards left and right with their play this season. He decided to opt out after transferring from Wake Forest to Georgia despite not even being a lock to go on Day 2. The arm and mobility are there, but his performance in JAMIE NEWMAN Wake Forest's simplistic offense down the stretch of 2019 — where he had grades in the 50s in three of his final four games — will give evaluators pause. If he does fall to Day 3, Newman could be one of","Ball placement downfield is ideal. Understands ( Data – No Ranks or Percentiles) leverage to put it where his can get it. Willing to give his guys a chance to make plays. Recognizes favorable one-on-ones. He's a weapon with his legs but doesn't look at it as a first option. Value add in run game. Ideal build for the quarterback position. The dude is rocked up. Targeted a simplistic route tree with a lot of go- balls and RPOs at Wake Forest. Not much creativity in terms of manipulating defenders or maneuvering pockets. Newman has a lot riding on the Senior Bowl after opting out in . Production fell off a cliff when he lost No. He's as talented as any who won't go in Round . Sage Surratt. Opted out of season. Never saw him shred top competition."
"12","Kyle Trask","FLORIDA","Kyle Trask is one of the older prospects in this class. He committed to Florida as a three-star quarterback recruit in the 2016 recruiting class and will turn 23 years old in March 2021. Florida was the only Power Five school to offer Trask coming out of Texas’ Manvel High School five years ago. Trask was a backup at Manvel. He played behind future Houston and Miami (Fla.) quarterback D’Eriq King. In his senior season, he completed 47-of-64 passes for 759 yards, 10 touchdowns and zero interceptions. School","Even though he'll be 23 on draft day, Trask is similar to Joe Burrow in that you can throw the age out the window when talking about his development. That's because the leap he took going from 2019 to 2020 isn't as crazy when you realize that they were his first two years as a starter, even KYLE TRASK dating back to high school. His stats, however, are a little inflated compared to his actual performance. He offers nothing from a mobility or off-schedule-plays perspective and was helped","Incredible year-to-year improvement. What if there's another such leap in him? Fearless in tight pockets. Almost too oblivious to pressure at times. Far more willing to attack downfield this year. Put some special throws on tape. Has multiple speeds already. Can throw a fastball or lay one in with touch. Statue in the pocket. No scrambling or playmaking at all. Inconsistent ball placement underneath. % accuracy on throws inside yards, ranking 50th. Trask lit up defenses, but he lacks real high-end traits. It's worrisome Loaded Florida offense. Bowl game was a struggle how that will look in a lesser situation. without top two playmakers. Arm is solid, but nowhere near guys at the top of the class."
"13","Zach Wilson","BYU","A Draper, Utah native, Zach Wilson fielded more than 10 offers and took two visits (BYU and Boise State) as a three-star quarterback recruit (247Sports) in 2017. He was an honor roll student, varsity basketball player and threw for over 2,700 yards as Corner Canyon High School’s starting quarterback as a junior and senior. He graduated early in 2017 and originally committed to Boise State before decommitting to pivot to the Cougars soon after. School","Call him a one-year wonder if you must, but Zach Wilson's ascent isn't near the same as Joe Burrow's a season ago. Wilson was out here earning an 80.5 overall grade as a true freshman in 2018 while leading a team full of adults at BYU. A shoulder injury and hand injury limited him in 2019 before ZACH WILSON he lit college football on fire this past fall. Blessed with a snappy right arm, Wilson has thrown passes as far as 65 yards through the air this season (against WKU, to be exact) with little more than a flick.","Uncoachable off-platform arm talent. Doesn't need his feet set to deliver strikes. Pinpoint to every level of the field. Ranked in the top five in off-target rate this season. Flick release. No wasted movement or windup to get the ball out quickly. Houdini in the pocket. Can get himself out of tight quarters under pressure. Had all day behind one of the best O-lines in the country. Some games were glorified -on-. Trusts arm almost too much at times and won't set feet on throws. Wilson's arm is special. He made more throws weekly than any Injuries limited him to one year of high-level other quarterback in the class. production against a Group of -only schedule."
"14","Rakeem Boyd","ARKANSAS","Rakeem Boyd originally committed to Texas A&M over 20-plus other scholarship offers as a three-star recruit coming out of Texas’ Stratford High School in 2016. He rushed for 6,436 yards and 80 touchdowns throughout his preps career. However, he transferred from Texas A&M to Independence Community College prior to his redshirt freshman season due to academic concerns. Per Taylor Hamm of 247Sports, Boyd didn’t meet his hour requirements after dropping too many classes and then made the pivot to the JUCO ranks. He rushed for 1,211 yards and 14 touchdowns at Independence in 2017 and was considered the No. 3 JUCO running back in the country. He committed to Arkansas over Colorado in 2018. School","Going over 1,000 yards in the SEC will quite easily put you on the NFL's radar. Boyd was a threat to house it anytime he touched the ball his first two years at Arkansas in 2018 and 2019. However, this past year we saw what happens when those big plays dry up. Boyd is not the type to grind out yards RAKEEM BOYD between the tackles and has to have a bit of space to get up to speed. Relying on big plays at the NFL is something that only backs like Chris Johnson in their prime can get away with. One has to","Can cook once he gets out into the open field. (Didn’t meet Minimum Snaps) Home-run hitter. Not afraid of contact despite his size. Will hit line of scrimmage with a head of steam. Did not fumble once on touches over the past two seasons. Runs high as can be. Chopped down with ease. Slender lower half. Closer to a build than Boyd is a pure speed back who's not nearly fast enough to get by No pile-moving ability whatsoever. Stoned on on that alone in the . contact. Consistent drops in passing game. Five on catchable targets over the past two years."
"15","Gary Brightwell","ARIZONA","Gary Brightwell was a team captain, a first-team all-conference selection and a first-team all-state selection at Maryland’s Saint Frances Academy in 2016. He rushed for 519 yards and eight touchdowns across his 78 carries that season. He received offers from Arizona, Temple, Delaware State and Stony Brook as a consensus three-star recruit as part of the 2017 class. School","Brightwell pops off the tape as soon as you flip it on. He runs with a violence that you can't instill into someone at this point in their life. He's got no problem sticking his foot in the ground and planting his shoulder pads into the chest of a linebacker. For a 220-pound running back, that's a GARY BRIGHTWELL fantastic starting point. Unfortunately, we barely got to see it happen throughout his career, with Brightwell never getting more than 89 touches in a season. A big reason for that is likely because of inconsistent hands in his Arizona career.","Violent into contact. Runs angry. (Didn’t Meet Minimum Snaps) Hits the line of scrimmage at full speed. No hesitancy to his running style. Tremendous burst out of his cuts. Explosive runner. North-south running style matches his physical attributes. Finding cutback lanes can be a dice roll. Eyes get locked in and he runs into traffic easily. Five drops on career catchable targets. He's been a non-factor in the passing game so far. Brightwell is very rough around the edges but offers something Physicality does not translate in pass protection. with his hard-nosed running style. He was blown up regularly. Never more than carries in a season."
"16","Michael Carter","NORTH CAROLINA","As a senior attending Navarre High School in Florida, Carter exploded for 3,345 all-purpose yards, 2,536 rushing yards and 45 touchdowns. His efforts culminated in him earning USA Today Florida Offensive Player of the Year and Florida High School Athletic Association 6A Mr. Football honors. As a three-star running back (247Sports), Carter enjoyed numerous offers — including Florida, Louisville, Mississippi State and Tennessee. Instead of staying home, the Navarre product selected the University of North Carolina to further his football and academic careers. School","Javonte Williams wasn't the only North Carolina back balling in Chapel Hill this year. Carter quietly had one of the best seasons of any running back in the country. He's listed at only 199 pounds, but don't let that fool you. Carter runs with a mean streak and can lower a shoulder to break a tackle. He MICHAEL CARTER also has the kind of bounce that can make guys miss without so much as touching him. Carter possesses a very modern skill set — he's one of the most accomplished receivers in the class as well.","Capable of sharp, explosive cuts. Elite stop/start ability. Contact balance is a plus. Strong lower half. Runs much harder than you'd expect at his size. Will lower shoulder. Accomplished receiver who can pants linebackers in coverage. Still very small. Hits feel different in the for -pound backs. Late breakout. Decidedly different player as senior than earlier in career. Carter has everything you could want except size. Even then, he Worry about him as pass protector. Not his forte. runs harder than his listed weight."
"17","Chris Evans","MICHIGAN","Per The Detroit News, Chris Evans clocked a 4.37-second 40-yard dash coming out of Indianapolis’ Ben Davis High School at 5-foot-11, 184 pounds in 2016. In his final season at Ben Davis, Evans rushed for 1,249 yards and 18 touchdowns. He also caught 51 passes and 10 receiving touchdowns. He was considered a four-star athlete, per 247Sports, as part of the 2016 recruiting class and received more than 10 scholarship offers, including from Michigan, Purdue, Illinois, Ohio State, Michigan State and Minnesota. School","There was a point in time when Evans looked poised to be the next stud running back for the Wolverines. In his true freshman season back in 2016, he racked up 614 yards on only 88 carries (7.0 yards per carry) and broke 28 tackles in the process. That would ultimately be his peak statistically, CHRIS EVANS as that promise was never realized. Evans wound up being suspended for the entire 2019 season for academic reasons then managed only 25 touches in his return in 2020. However, what he did as a","Maintains low center of gravity when toting the (Didn’t Meet Minimum Snaps) rock. Won't get stood up. Smooth change-of-direction ability at his size. Exceptional hands. Very natural pass-catcher. Wiggle on the move that can set up unsuspecting defenders. Middling athlete by standards. Will get chased down by LBs. Suspended due to academic reasons for the season. Recorded only carries over the past two years. Evans has three-down ability, but he'll have to answer why he fell Tape peaked as a freshman. Why no next step? out of favor in the Michigan backfield. Well on the older side. He will turn as a rookie."
"18","Travis Etienne","40-yard dash with his 4.43-second time.","Considered a four-star recruit coming out of Jennings, Louisiana, in 2017, Travis Etienne was heavily recruited by LSU but ultimately opted for Clemson even though it was the last of the 34 schools to offer him a scholarship, per Luke Johnson of The Advocate. His dedicated following in his small hometown wasn’t enthused, as he received countless calls shortly after his commitment from those upset with his decision not to attend LSU, per Matt Connolly of The State. Etienne had just one offer on the table (South Alabama) before he attended the New Orleans Nike Opening camp in April 2016. There, the 5-foot-11, 199-pound back made waves. He finished second behind Clyde School Edwards-Helaire in composite score among Louisiana’s participants, but he beat out the LSU commit in the CLEMSON","While it's a tad concerning that Etienne's efficiency took a massive hit — Clemson's offensive line faltered this season after losing four starters to the NFL — what Etienne did as a receiver likely turned some heads. He was a downfield passing weapon in the Clemson attack after being an TRAVIS ETIENNE afterthought in that regard early in his career. His 588 receiving yards were the most of any back in the country this year. His explosiveness and tackle-breaking ability didn't go away; rather, Etienne","Home run waiting to happen. Special big-play ability. Reinvented himself as a legit weapon in the passing game as a senior. Burst from a standstill is different from every other back in the class. Contact balance for days. Barely loses speed on arm tackles. Gets caught looking for the bounce out. Won't fly in the . Rushing numbers took a big hit when the Clemson fell off in . Etienne is not a plug-and-play running back, but he's the Not a take-what's-there kind of back. Not going most dynamic threat at the position in the class. to grind out short gains. Hasn't had a game with -plus carries since"
"19","Demetric Felton","UCLA","Though he was born in Memphis, Tennessee, Felton attended Great Oak High School in Temecula, California. It was not until his final two seasons that he showcased his talents, totaling 367 carries, 2,624 rushing yards and 29 touchdowns on the ground. He added another 951 yards and nine touchdowns off 49 receptions. The speedy back was labeled a three-star athlete by 247Sports and pulled in seven offers. The likes of Michigan and Arizona State sought his services, but Felton chose to stay closer to home and signed his letter of intent to join the UCLA Bruins in February 2016. School","Felton started his career as a slot receiver in the UCLA offense before packing on the mass and taking over as a full-time running back this season. The ball skills didn't go anywhere, and he also proved he could handle a large workload this past season. He had 25-plus carries in three of his six DEMETRIC FELTON games this season and broke 36 tackles on 132 attempts. Felton will be coveted most for that versatility, and any team that plans to feature running backs heavily in the passing game will","Tremendous shiftiness. Very likely a child tag prodigy. Loses no speed out of route breaks. True pass- game weapon. Former slot wide receiver who could still play there. Put on significant amount of muscle to get to viable every-down size. Still hesitant between the tackles. Not your bell cow from a carries standpoint. Quicker than fast. Not a home-run hitter despite size. Felton is a modern slot-running back hybrid who can create Goes down too easily on contact. No power mismatches in the passing game. element. Still haven't seen a ton of him. Only career carries."
"20","Kenneth Gainwell","MEMPHIS","Gainwell was a four-year varsity football player at Yazoo County High School in Mississippi, starting at quarterback the last three seasons. He helped lead the Panthers to four straight winning seasons and four straight Mississippi High School Activities Association state playoff berths. As the team’s signal-caller, he accounted for 8,412 total yards and 108 total touchdowns while averaging a monstrous 9.4 yards per carry over his career. His play resulted in a three-star rating from 247Sports and eight offers, two of which came from Power Five programs — Ole Miss and Mississippi State. Gainwell eventually landed with Memphis, which recruited him as a receiver. Soon after touching down on campus, he School made the switch to running back.","Gainwell is next up in the Memphis running back pipeline, but he's got a vastly different skill set to those who have come before him. Gainwell looks more like a slot receiver than he does a running back, at 5-foot-11, 195 pounds. The good thing is that he gets open like a slot receiver, as well. He KENNETH GAINWELL racked up over 600 receiving yards back in 2019 before opting out in 2020 — he picked up over 200 against Tulane alone. He's also got the kind of bounciness that makes you think he'll continue to","Has slot receiver-esque route-running ability. ( Data – No Ranks or Percentiles) Could likely play there full-time. Some of the best hands at the position. Three drops on career catchable targets. Elite agility. Was rarely pinned down in space. A nightmare for linebackers one-on-one. Wants to run hard. Not completely toast when defenders get hands on him, unlike some small backs. Scatback size. May never get his weight up to feel good about him in pass protection. Freelance running style. Didn't have to stay on track with his reads to create big plays. Teams that get their running backs involved heavily in the Slower than you'd prefer for an undersized back. passing game, this is the back for you. Middling top speed. Opted out of season."
