player_name,player_key,team,position,headshot_url
Ivan Davis,ivan davis,Northern Illinois,DE,https://a.espncdn.com/i/headshots/college-football/players/full/4429529.png
Jared Dawson,jared dawson,Notre Dame,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429531.png
Jonathan Denis,jonathan denis,Louisiana Tech,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429550.png
Eamonn Dennis,eamonn dennis,Ohio,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429552.png
Virdel Edwards II,virdel edwards ii,Hawai'i,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429556.png
Choe Bryant-Strother,choe bryantstrother,BYU,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429557.png
Joe Fagnano,joe fagnano,UConn,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429582.png
Michael Flores,michael flores,Louisville,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429604.png
Zachary Franks,zachary franks,Massachusetts,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429635.png
Anthony Enechukwu,anthony enechukwu,Jackson State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429683.png
Makell Esteen,makell esteen,Washington,S,https://a.espncdn.com/i/headshots/college-football/players/full/4429694.png
Bryan Felter,bryan felter,Rutgers,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429720.png
Anthony Fieldings,anthony fieldings,Alabama A&M,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429725.png
Lucas Finnessy,lucas finnessy,Minnesota,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429730.png
Jax Harrington,jax harrington,Louisiana,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429745.png
Brendan Harrington,brendan harrington,Georgia Southern,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429746.png
Courtline Flowers,courtline flowers,Louisiana,S,https://a.espncdn.com/i/headshots/college-football/players/full/4429762.png
Christian Forbes,christian forbes,Stony Brook,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429766.png
Alonzo Ford Jr.,alonzo ford jr,Penn State,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4429768.png
Courtland Ford,courtland ford,UCLA,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429770.png
Sione Fotu,sione fotu,Houston,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429771.png
Drew Francis,drew francis,East Tennessee State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429774.png
Martavius French,martavius french,Colorado,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429778.png
Dejuan Butler,dejuan butler,Sacramento State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429779.png
Ger-Cari Caldwell,gercari caldwell,Memphis,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429800.png
Tucker Gleason,tucker gleason,Toledo,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429801.png
Jimmy Calloway,jimmy calloway,Tulane,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429804.png
Jalar Holley,jalar holley,Charlotte,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429841.png
Tank Green,tank green,UConn,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429843.png
Zukudo Igwenagu,zukudo igwenagu,Massachusetts,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429881.png
Dayon Hayes,dayon hayes,Texas A&M,DE,https://a.espncdn.com/i/headshots/college-football/players/full/4429920.png
Avery Helm,avery helm,TCU,CB,https://a.espncdn.com/i/headshots/college-football/players/full/4429921.png
Jaedon Henry,jaedon henry,SE Louisiana,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429922.png
Gentle Hunt,gentle hunt,Illinois,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429960.png
Ethan Hurkett,ethan hurkett,Iowa,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4429965.png
Kris Hutson,kris hutson,Arizona,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429967.png
Ryan Ingram,ryan ingram,Chattanooga,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429971.png
Kyler Laing,kyler laing,Mercyhurst,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4430015.png
Jaylan Jeffers,jaylan jeffers,UCLA,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4430018.png
Jestus Johnson,jestus johnson,Delaware State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4430074.png
